,eq_feature_dict,greater_feature_dict,less_feature_dict
ground_lightsource,None,None,None
ground_container,None,None,None
support,None,None,None
ground_verticality,None,None,None
size_ratio,None,None,None
shortest_distance,None,None,None
contact_proportion,None,None,None
above_proportion,None,0.035836,None
below_proportion,None,None,None
bbox_overlap_proportion,None,None,None
horizontal_distance,None,None,None
f_covers_g,None,None,1.085287
g_covers_f,None,None,None
figure_lightsource,None,None,None
figure_container,None,None,None
location_control,None,None,None
